321 703
703 321
321 141
141 321
575 187
187 575
575 436
436 575
245 678
678 245
245 173
173 245
214 102
102 214
214 592
592 214
100 453
453 100
100 554
554 100
538 532
532 538
538 507
507 538
518 595
595 518
518 146
146 518
389 694
694 389
389 444
444 389
586 657
657 586
586 311
311 586
348 196
196 348
348 381
381 348
192 228
228 192
192 650
650 192
319 142
142 319
319 8
8 319
594 482
482 594
594 333
333 594
4 200
200 4
4 591
591 4
313 213
213 313
313 576
576 313
377 189
189 377
377 361
361 377
570 709
709 570
570 305
305 570
273 326
326 273
273 585
585 273
611 643
643 611
611 398
398 611
402 618
618 402
402 705
705 402
316 387
387 316
316 686
686 316
325 396
396 325
325 341
341 325
92 699
699 92
92 492
492 92
247 334
334 247
247 394
394 247
414 300
300 414
414 323
323 414
131 413
413 131
131 309
309 131
274 405
405 274
274 684
684 274
349 555
555 349
349 81
81 349
77 34
34 77
77 151
151 77
37 240
240 37
37 3
3 37
63 45
45 63
63 369
369 63
637 416
416 637
637 0
0 637
271 386
386 271
271 444
444 271
521 672
672 521
521 423
423 521
415 411
411 415
415 222
222 415
509 197
197 509
509 441
441 509
481 67
67 481
481 343
343 481
7 232
232 7
7 117
117 7
714 118
118 714
714 93
93 714
425 227
227 425
425 449
449 425
578 279
279 578
578 507
507 578
353 50
50 353
353 536
536 353
223 636
636 223
223 490
490 223
22 541
541 22
22 394
394 22
438 256
256 438
438 359
359 438
38 498
498 38
38 474
474 38
83 569
569 83
83 388
388 83
704 624
624 704
704 669
669 704
42 212
212 42
42 222
222 42
177 251
251 177
177 490
490 177
426 418
418 426
426 188
188 426
519 126
126 519
519 433
433 519
493 391
391 493
493 388
388 493
707 485
485 707
707 593
593 707
124 119
119 124
124 285
285 124
180 68
68 180
180 58
58 180
350 357
357 350
350 116
116 350
261 517
517 261
261 505
505 261
631 242
242 631
631 612
612 631
171 205
205 171
171 469
469 171
120 20
20 120
120 323
323 120
113 614
614 113
113 639
639 113
5 53
53 5
5 475
475 5
161 483
483 161
161 685
685 161
496 456
456 496
496 123
123 496
665 549
549 665
665 216
216 665
428 215
215 428
428 354
354 428
318 72
72 318
318 579
579 318
249 29
29 249
249 388
388 249
204 206
206 204
204 372
372 204
302 671
671 302
302 605
605 302
479 531
531 479
479 679
679 479
239 628
628 239
239 1
1 239
35 314
314 35
35 381
381 35
330 506
506 330
330 470
470 330
640 545
545 640
640 393
393 640
486 162
162 486
486 713
713 486
642 400
400 642
642 466
466 642
706 244
244 706
706 379
379 706
159 384
384 159
159 236
236 159
502 257
257 502
502 639
639 502
580 186
186 580
580 435
435 580
101 193
193 101
101 550
550 101
351 103
103 351
351 138
138 351
403 260
260 403
403 471
471 403
229 458
458 229
229 40
40 229
6 503
503 6
6 514
514 6
225 105
105 225
225 112
112 225
175 662
662 175
175 288
288 175
378 174
174 378
378 144
144 378
338 215
215 338
338 679
679 338
44 430
430 44
44 55
55 44
136 135
135 136
136 630
630 136
368 79
79 368
368 184
184 368
582 322
322 582
582 404
404 582
587 61
61 587
587 702
702 587
451 292
292 451
451 222
222 451
27 241
241 27
27 76
76 27
231 306
306 231
231 574
574 231
166 543
543 166
166 380
380 166
201 220
