0 A 2
1 A 2
2 D 0
3 A 2
4 M 1
5 M 1
6 M 1
7 M 1
8 A 2
9 M 1
10 A 2
11 A 2
12 D 0
13 D 0
14 A 2
15 D 0
16 D 0
17 D 0
18 A 2
19 M 1
20 D 0
21 M 1
22 M 1
23 A 2
24 D 0
25 D 0
26 A 2
27 M 1
28 A 2
29 D 0
30 M 1
31 M 1
32 M 1
33 D 0
34 D 0
35 M 1
36 M 1
37 M 1
38 M 1
39 M 1
40 A 2
41 A 2
42 M 1
43 D 0
44 M 1
45 D 0
46 A 2
47 D 0
48 A 2
49 D 0
50 D 0
51 A 2
52 A 2
53 D 0
54 M 1
55 A 2
56 A 2
57 D 0
58 A 2
59 D 0
60 A 2
61 D 0
62 D 0
63 M 1
64 D 0
65 M 1
66 A 2
67 D 0
68 D 0
69 D 0
70 M 1
71 A 2
72 D 0
73 M 1
74 D 0
75 A 2
76 A 2
77 M 1
78 M 1
79 D 0
80 M 1
81 A 2
82 M 1
83 M 1
84 A 2
85 D 0
86 D 0
87 M 1
88 D 0
89 M 1
90 A 2
91 M 1
92 M 1
93 A 2
94 A 2
95 A 2
96 D 0
97 A 2
98 M 1
99 A 2
100 M 1
101 M 1
102 D 0
103 D 0
104 A 2
105 D 0
106 D 0
107 D 0
108 D 0
109 D 0
110 A 2
111 D 0
112 A 2
113 M 1
114 A 2
115 D 0
116 A 2
117 A 2
118 D 0
119 D 0
120 M 1
121 A 2
122 D 0
123 A 2
124 M 1
125 A 2
126 D 0
127 D 0
128 M 1
129 D 0
130 M 1
131 M 1
132 M 1
133 D 0
134 A 2
135 D 0
136 M 1
137 A 2
138 A 2
139 M 1
140 A 2
141 A 2
142 D 0
143 D 0
144 A 2
145 M 1
146 A 2
147 M 1
148 D 0
149 M 1
150 M 1
151 A 2
152 A 2
153 M 1
154 D 0
155 M 1
156 M 1
157 D 0
158 M 1
159 M 1
160 M 1
161 M 1
162 D 0
163 A 2
164 D 0
165 A 2
166 M 1
167 D 0
168 D 0
169 M 1
170 A 2
171 M 1
172 A 2
173 A 2
174 D 0
175 M 1
176 D 0
177 M 1
178 M 1
179 A 2
180 M 1
181 A 2
182 M 1
183 M 1
184 A 2
185 A 2
186 D 0
187 D 0
188 A 2
189 D 0
190 A 2
191 D 0
192 M 1
193 D 0
194 D 0
195 M 1
196 D 0
197 D 0
198 M 1
199 M 1
200 D 0
201 M 1
202 M 1
203 D 0
204 M 1
205 D 0
206 D 0
207 A 2
208 D 0
209 A 2
210 A 2
211 D 0
212 D 0
213 D 0
214 M 1
215 D 0
216 A 2
217 M 1
218 M 1
219 A 2
220 D 0
221 A 2
222 A 2
223 M 1
224 D 0
225 M 1
226 M 1
227 D 0
228 D 0
229 M 1
230 M 1
231 M 1
232 D 0
233 D 0
234 M 1
235 D 0
236 A 2
237 M 1
238 M 1
239 M 1
240 D 0
241 D 0
242 D 0
243 D 0
244 D 0
245 M 1
246 D 0
247 M 1
248 M 1
249 M 1
250 M 1
251 D 0
252 D 0
253 A 2
254 M 1
255 A 2
256 D 0
257 D 0
258 M 1
259 M 1
260 D 0
261 M 1
262 M 1
263 A 2
264 D 0
265 D 0
266 D 0
267 M 1
268 A 2
269 M 1
270 A 2
271 M 1
272 D 0
273 M 1
274 M 1
275 D 0
276 D 0
277 D 0
278 D 0
279 D 0
280 M 1
281 M 1
282 M 1
283 D 0
284 M 1
285 A 2
286 D 0
287 A 2
288 A 2
289 D 0
290 D 0
291 D 0
292 D 0
293 D 0
294 D 0
295 M 1
296 M 1
297 A 2
298 A 2
299 M 1
300 D 0
301 D 0
302 M 1
303 D 0
304 M 1
305 A 2
306 D 0
307 D 0
308 A 2
309 A 2
310 A 2
311 A 2
312 A 2
313 M 1
314 D 0
315 A 2
316 M 1
317 A 2
318 M 1
319 M 1
320 D 0
321 M 1
322 D 0
323 A 2
324 D 0
325 M 1
326 D 0
327 M 1
328 D 0
329 D 0
330 M 1
331 D 0
332 D 0
333 A 2
334 D 0
335 A 2
336 M 1
337 D 0
338 M 1
339 D 0
340 M 1
341 A 2
342 M 1
343 A 2
344 A 2
345 M 1
346 A 2
347 M 1
348 M 1
349 M 1
350 M 1
351 M 1
352 A 2
353 M 1
354 A 2
355 M 1
356 D 0
357 D 0
358 M 1
359 A 2
360 D 0
361 A 2
362 M 1
363 D 0
364 A 2
365 M 1
366 A 2
367 M 1
